ID,T_RANDOM,MONTH,YEAR,CLOCK,TIME,P_REPORT,CCN,V_RACE,S_RACE,V_CHEM,S_CHEM,S_DMNOR1,S_DMNOR2,WEAPON,GUNS,P_ASSLT1,P_ASSLT2,P_CALMED,P_REFER,P_ADVISE,T_FINAL,REASON1,REASON2,REASON3,REASON4,R_RELATE
372020123,3,5,81,125,35,1,83905,1,1,1,0,1,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
441050111,1,5,81,515,40,1,NA,1,2,0,1,2,2,4,1,1,2,9,9,9,1,1,1,1,1,NA
281200111,1,5,81,1910,15,1,77252,3,3,1,0,2,2,5,1,0,1,9,9,9,1,1,1,1,1,NA
681260123,3,7,81,210,NA,0,NA,3,3,1,1,1,2,3,1,0,1,9,9,9,3,1,1,1,1,NA
232010123,3,5,81,100,NA,1,74836,1,1,0,1,1,1,3,1,0,1,9,9,9,3,9,1,1,1,NA
641180111,1,7,81,2215,30,1,119296,2,2,1,1,1,1,5,1,0,1,9,9,9,1,7,1,1,1,NA
752290111,1,7,81,1300,5,1,136436,3,3,0,1,2,1,3,1,1,2,9,9,9,1,4,1,1,1,NA
732210111,1,8,81,330,25,1,NA,1,1,1,1,1,1,3,1,0,1,9,9,9,1,1,1,1,1,NA
592210123,3,6,81,1930,30,1,NA,1,5,0,0,1,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
321130132,2,5,81,1830,NA,0,NA,1,1,0,0,2,1,3,1,0,1,1,0,0,2,1,1,1,1,NA
512010222,2,6,81,1645,30,0,NA,1,1,0,0,1,1,2,1,0,1,1,1,0,2,1,1,1,1,NA
211130133,3,4,81,130,15,0,NA,3,3,0,1,1,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
351260111,1,4,81,250,15,1,69496,1,1,0,1,2,1,4,1,0,1,9,9,9,1,1,1,1,1,NA
362150133,3,5,81,200,15,0,NA,1,3,1,1,1,2,2,1,0,1,9,9,9,3,1,1,1,1,NA
192290111,1,4,81,245,NA,1,66881,1,3,1,1,NA,1,3,3,0,1,9,9,9,1,1,1,1,1,NA
671180121,1,7,81,2125,20,1,121313,2,2,0,1,2,2,3,1,0,1,9,9,9,1,1,1,1,1,NA
522010111,1,6,81,1915,26,1,98569,1,1,0,1,2,NA,4,NA,0,1,9,9,9,1,7,1,1,1,NA
31320111,1,3,81,30,20,1,NA,1,1,0,0,2,2,3,1,0,1,9,9,9,1,9,1,1,1,NA
411330213,3,6,81,30,NA,1,NA,1,1,1,1,2,2,3,1,0,1,9,9,9,1,1,1,1,1,NA
181200132,2,4,81,NA,NA,0,68125,1,2,0,1,2,2,3,1,0,1,1,1,0,2,1,1,1,1,NA
691260123,3,7,81,100,15,0,NA,1,1,0,1,2,2,3,1,0,1,9,9,9,3,1,1,1,1,NA
501200111,1,5,81,2110,20,1,89153,2,2,0,0,2,2,4,1,0,1,9,9,9,1,1,1,1,1,NA
812020132,2,8,81,2230,20,0,NA,1,1,1,1,2,1,3,1,0,1,1,1,0,2,1,1,1,1,NA
291110111,1,5,81,2130,20,1,NA,3,3,NA,1,1,1,3,NA,0,1,9,9,9,1,1,1,1,1,NA
121070132,2,4,81,2015,20,0,NA,1,3,0,1,1,1,3,1,0,1,1,0,1,2,1,1,1,1,NA
391260111,1,5,81,1800,15,1,84977,2,2,0,1,2,2,3,1,0,1,9,9,9,1,1,1,1,1,NA
331050132,2,5,81,2240,40,0,NA,2,2,0,0,1,1,3,1,0,1,1,1,1,2,1,1,1,1,NA
551200132,2,4,81,2300,25,0,302,2,2,1,1,2,1,5,1,0,1,1,0,0,2,1,1,1,1,NA
581270132,2,6,81,100,10,0,NA,2,2,0,0,2,1,3,1,0,1,1,0,0,2,1,1,1,1,NA
272030132,2,4,81,100,20,0,NA,1,2,1,0,1,1,3,1,0,1,1,0,0,2,1,1,1,1,NA
22290123,3,3,81,730,NA,0,39165,1,6,0,1,2,1,3,2,0,1,9,9,9,3,1,1,1,1,NA
631250123,3,6,81,1510,NA,1,93566,1,1,0,0,1,1,3,1,1,NA,9,9,9,3,1,1,1,1,NA
141180111,1,4,81,120,30,1,NA,1,1,0,1,2,NA,3,3,0,1,9,9,9,1,1,1,1,1,NA
51270123,3,3,81,2335,13,0,NA,1,1,0,1,1,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
262030111,1,5,81,2000,20,1,NA,2,2,0,1,2,NA,3,1,0,1,9,9,9,1,1,1,1,1,NA
421180113,3,5,81,2005,NA,1,84374,1,1,1,1,2,2,3,1,0,1,9,9,9,1,5,1,1,1,NA
112290132,2,4,81,2305,32,0,52895,3,3,1,1,1,1,3,NA,0,1,1,1,0,2,1,1,1,1,NA
491330132,2,5,81,130,20,0,NA,1,1,0,1,2,2,3,1,0,1,1,0,0,1,2,1,1,1,NA
612010123,3,7,81,800,30,0,NA,3,5,0,0,1,1,3,1,0,1,9,9,9,4,2,1,1,1,NA
162090123,3,4,81,1800,NA,1,NA,1,2,NA,NA,NA,NA,3,1,0,1,9,9,9,1,1,1,1,1,NA
202150123,3,4,81,630,25,0,NA,2,1,0,0,1,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
451330132,2,6,81,30,10,1,NA,1,NA,1,1,NA,NA,4,3,0,1,0,1,0,2,1,1,1,1,NA
741260111,1,7,81,2240,15,1,133041,2,2,1,1,2,1,3,1,0,1,9,9,9,1,1,1,1,1,NA
82150132,2,4,81,715,15,0,NA,3,1,0,1,1,1,3,3,0,1,1,0,0,2,1,1,1,1,NA
301120223,3,5,81,10,15,1,74090,2,2,1,1,1,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
772030111,1,8,81,1800,5,1,NA,1,2,0,0,1,1,5,1,0,1,9,9,9,1,7,1,1,1,NA
71260123,3,NA,NA,930,NA,0,NA,2,2,0,0,2,2,7,3,0,1,9,9,9,3,1,1,1,1,NA
461130132,2,5,81,1830,10,0,NA,1,1,0,0,1,1,3,NA,0,1,1,1,0,2,1,1,1,1,NA
11190123,3,3,81,2015,16,1,NA,1,1,0,1,2,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
652150112,2,5,81,415,NA,1,NA,3,3,0,1,2,NA,3,1,0,1,1,1,1,1,5,1,1,1,NA
341130132,2,5,81,2045,20,0,NA,1,1,1,0,1,1,3,1,0,1,1,0,0,2,1,1,1,1,NA
571120123,3,6,81,1745,NA,1,NA,1,5,0,1,1,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
471050123,3,5,81,2330,40,1,NA,1,1,1,1,1,1,3,2,0,1,9,9,9,1,9,1,1,1,NA
431200123,3,5,81,1730,20,0,NA,1,2,0,1,2,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
41330123,3,3,81,2020,NA,1,NA,1,2,0,0,NA,NA,3,1,0,1,9,9,9,2,9,1,1,1,NA
622170111,1,6,81,2043,10,1,NA,1,1,0,1,2,2,3,1,0,1,9,9,9,1,1,1,1,1,NA
102140123,3,4,81,2020,20,0,NA,3,1,0,1,2,2,3,NA,0,1,9,9,9,3,1,1,1,1,NA
531130123,3,6,81,1120,10,0,NA,2,2,0,0,1,1,4,1,0,1,9,9,9,3,1,1,1,1,NA
662030111,1,7,81,245,20,1,NA,2,1,0,1,2,2,4,NA,0,1,9,9,9,1,1,1,1,1,NA
382100123,3,5,81,2115,30,0,NA,1,4,0,1,2,1,4,1,0,1,9,9,9,3,1,1,1,1,NA
151270132,2,4,81,2300,30,1,63992,1,1,0,1,1,1,3,NA,0,1,1,0,0,2,1,1,1,1,NA
602030123,3,6,81,445,15,1,NA,3,3,1,1,1,1,3,NA,0,1,9,9,9,1,1,1,1,1,NA
722100132,2,7,81,10,20,0,NA,1,1,0,0,1,1,3,1,0,1,1,0,1,2,1,1,1,1,NA
481140123,3,6,81,2200,17,0,NA,1,1,1,1,1,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
792020211,1,8,81,200,20,1,153701,1,2,0,1,2,2,3,2,0,1,9,9,9,1,1,1,1,1,NA
92170113,3,4,81,125,20,1,58915,1,3,1,1,2,2,4,1,0,1,9,9,9,1,7,1,1,1,NA
782290111,1,8,81,2020,10,1,153531,1,1,0,1,2,2,3,1,0,1,9,9,9,1,1,1,1,1,NA
312030111,1,5,81,1535,NA,1,NA,1,2,0,1,2,2,4,1,0,1,9,9,9,1,1,1,1,1,NA
712290111,1,7,81,2315,20,1,NA,2,2,0,1,NA,NA,4,1,0,1,9,9,9,1,1,1,1,1,NA
401200111,1,5,81,2015,20,1,81087344,1,1,0,1,2,1,3,1,0,1,9,9,9,1,1,1,1,1,NA
541190132,2,6,81,2100,15,1,NA,1,2,0,1,1,2,3,3,0,1,1,0,0,3,1,1,1,1,NA
131200111,1,4,81,450,NA,1,56962,2,2,0,0,1,1,3,2,0,1,9,9,9,1,1,1,1,1,NA
172010123,3,4,81,1200,15,0,NA,3,3,0,0,1,1,3,1,0,1,9,9,9,3,1,1,1,1,NA
561250132,2,6,81,1700,20,0,NA,3,1,0,1,2,2,3,NA,0,1,1,0,0,2,1,1,1,1,NA
802290113,3,8,81,1710,NA,1,152571,1,1,0,1,2,2,5,1,0,1,9,9,9,1,6,7,1,1,NA
251260132,2,4,81,2250,20,0,NA,2,2,0,0,2,1,3,1,0,1,1,0,1,2,1,1,1,1,NA
762170132,2,7,81,5,20,1,133903,1,2,0,0,1,1,5,1,0,1,1,1,0,2,1,1,1,1,NA
1061260123,3,10,81,300,20,1,NA,3,3,1,1,1,2,3,1,0,1,9,9,9,3,1,1,1,1,NA
1021200123,3,9,81,950,15,0,NA,1,1,0,0,2,2,3,1,0,1,9,9,9,3,1,1,1,1,NA
1471200132,2,2,82,1420,10,0,NA,1,1,0,0,2,1,4,1,0,1,1,0,1,2,1,1,1,1,NA
891330142,2,3,81,2010,10,0,NA,1,NA,0,0,2,2,3,1,0,1,0,0,0,4,2,1,1,1,NA
1002090111,1,10,81,1645,NA,1,NA,3,3,0,0,2,2,5,1,0,1,9,9,9,1,1,1,1,1,NA
932100132,2,8,81,2020,30,1,NA,1,1,0,1,2,2,3,1,0,1,1,1,1,2,1,1,1,1,NA
1092020111,1,10,81,2120,20,1,197159,1,1,1,1,2,2,3,3,0,1,9,9,9,1,1,1,1,1,NA
882150132,2,9,81,1900,20,0,NA,3,3,0,1,1,1,3,1,0,1,0,0,0,2,1,1,1,1,NA
1101200132,2,11,81,1400,15,1,202780,2,2,0,0,2,NA,4,1,0,1,0,1,1,2,1,1,1,1,NA
1392030111,1,12,81,1140,15,1,226241,3,3,0,0,2,2,4,NA,NA,NA,9,9,9,1,1,1,1,1,NA
1511450123,3,2,82,1700,NA,0,NA,1,1,0,1,1,NA,3,1,0,1,9,9,9,3,1,1,1,1,NA
1041260111,1,10,81,10,NA,1,NA,1,1,1,1,2,2,3,1,0,1,9,9,9,1,1,1,1,1,NA
1162150143,3,8,81,530,15,0,NA,2,2,1,1,1,1,3,1,0,1,9,9,9,4,1,1,1,1,NA
1311200132,2,11,81,1440,15,0,NA,1,1,0,1,2,1,3,1,0,1,1,0,0,2,1,1,1,1,NA
1232090113,3,11,81,400,NA,1,219041,1,2,0,1,1,NA,3,1,0,1,9,9,9,1,1,1,1,1,NA
1261450113,3,1,82,50,40,1,3049,1,1,0,1,2,2,3,1,0,1,9,9,9,1,1,1,1,1,NA
